español,ayapaneco1,ayapaneco2,raíz,ejemplo
paloma,ku'ugu,ku'ugo,ku'uku,*
pañuelo,paayu,*,paayu,*
papaya,ondza,*,'ontza,*
papel,too'do,*,toto',*
pariente,tü'diña,*,tüü'ta-iñaj,*
patio,angǘ'ü,,'ang-kü'ü,*
pato,paa'du,paa'do,paa'tu,*
pavito,seandu'u,mbandu'u,maan-tu'un,*
pecho,kukpak,*,kuk-pak,*
pejelagarto,akshaj,*,'akshaj,*
pelo,pük,*,pük,*
perro,taa'ga,*,taa'ka,*
petate,paa'da,*,paa'ta,*
pez,gwo'ng,*,wo'ng,*
pie,chande,chandi,tante,*
piedra,tza',*,tza',*
platanar,shapnibee'ge,*,shapne-pee'ke,*
plátano dominico,seanshap,*,shyan-shap,*
plátano,inela,shap,shap,*
platicar,tzam,ndzam,n-tzam,*
playa,ñaaga mbej,*,naka-meej,*
pluma,pük,*,pük,*
pollito,seambiyu,*,shyan-piyu,*
pollo,piyu,*,piyu,*
popal,koo'bo,*,kopo',*
popote,püü'yü,püü'ye,püü'yi,*
pozo,josh,*,josh,*
pozol,tzeegwa,*,tzeewa,*
pronto,tzügü,*,tzükü,*
puerco,yooya,*,yooya,*
puerquito,seanyooya,*,shyan-yooya,*
quelite,kuytzyüübü'k,*,kuy-tzüü-pü'k,*
querido,shunda,*,shun-ta,*
quijada,ke'egwi,ke'egwe,ke'ewi,*
quinicuil,ta'tzanguy,*,ta'tzan-kuy,*
rana,nda'oogo,*,na'ooko,*
rata,tzuk,*,tzuk,*
red,nduu,*,nuj,*
rodilla,koosho,*,kooshu,*
rojo,tzaba'tz,*,*,*
ropa,yo'odi,*,yo'te,*
saber,joo'da'aj,joo'do'a',joto'-aj,*
sal,kaana,*,tzapa'tz,*
salida,puudi,puude,put-e,*
saliva,tzuuje,*,tzuj-e,*
sandía,shane,shayna,shayna,*
sangre,ndǘ'übi,*,nü'üpi,*
selva,jümni,jümne,jümni,*
semilla,puj,*,puj,*
silla,koongo,*,kong-kü,*
sobaco,shaj,*,shaj,*
sol,jaama,*,jaama,*
sombrero,shumneej,*,shumneej,*
sueño,mbapsi,*,mapsh-e,*
tabaco,tzüügwi,tzüügwe,tzüüwe,*
tábano,pingbak,pinyuk,ping-pak,*
tambor grande,wütkoogwa,*,wüt-koowa,*
tambor,koogwa,*,koowa,*
tamborcito,kü'tzkyoogwa,*,kü'tzy-koowa,*
tapanco,ko'ok,*,ko'ok,*
tarde,tu'k jaama,*,tu'k-jaama,*
tecolote,ju',*,ju',*
tecomate,pok,*,pok,*
tela,yo'odi,*,yo'te,*
tierra,ndash,*,nash,*
tigre,kaangje,kaangi,kaangje,*
tizón,juktiguy,*,jukte-kuy,*
todavía no,tana,*,taa-na,*
tomate,kooyo',*,koyo',*
tortilla,aane,*,'aane,*
trabajador,yoshkü'ügwi,yoshkü'ügwe,yosh-kü'üwi,*
trabajo,yoshko,yoshku,yosh-ku,*
tres,tuguna,*,tuku-na,*
triste,kiingna,*,king-na,*
tristeza,kiingna,*,king-na,*
trueno,mbüünye,mbüünyi,müünyi,*
tú,mitz,*,mitz,*
uña,küüdzigash,*,küützi-kash,*
uno,tum,*,tum,*
vaca,gwaagax,*,waakax,*
vaina de machete,ndashkonshyago,*,naksh-ku-sya-ku,*
vámonos ya,teda'ama,*,te-ta'am-am,*
venado,mbǘ'a,*,mü'a,*
verdad,numde,numdi,numte,*
verdadero,numde,numdi,numte,*
verde,tzuush,*,tzuush,*
viento,shaagwa,*,shawa,*
yo,ütz,*,'ütz,*
yuca,piisi,piise,piishi,*
zopilote,ndu'ugu,ndu'ugo,nu'uku,*
